 engine bench mean min max variance standard-deviation
rhino-nojit 3d-morph 179166.44444444444 178022.0 181684.0 1380752.024691358 1175.0540518169187
ch-jit ray-tracing 1705.888888888889 1688.0 1740.0 288.32098765432096 16.98001730429981
ch-nojit ray-tracing 2243.0 2239.0 2248.0 10.75 3.278719262151
d8-d8 ray-tracing 397.0 389.0 402.0 15.75 3.968626966596886
d8-d8 ray-tracing 458.55555555555554 452.0 466.0 23.580246913580243 4.855949640758257
duk ray-tracing 5521.375 5497.0 5536.0 133.734375 11.564357958831955
espruino ray-tracing 29199.875 29199.0 29202.0 0.859375 0.9270248108869579
hermes-gengc ray-tracing 111862.0 111771.0 112027.0 9154.666666666666 95.68002229654144
hermes-hades ray-tracing 63089.444444444445 62976.0 63220.0 4728.469135802469 68.7638650440947
hermes-malloc ray-tracing 68676.66666666667 68343.0 69145.0 65175.55555555557 255.29503629243473
jerry-512k ray-tracing 2115.4444444444443 2077.0 2151.0 502.0246913580247 22.40590751025329
jerry-6m ray-tracing 2029.7777777777778 2014.0 2055.0 167.7283950617284 12.950999770740806
js-24-js ray-tracing 641.4444444444445 628.0 673.0 232.24691358024697 15.239649391644381
js-24-js ray-tracing 864.4444444444445 823.0 886.0 342.02469135802465 18.493909574722828
js-52-js ray-tracing 946.7777777777778 924.0 985.0 450.61728395061726 21.227747971714223
js-52-js ray-tracing 1892.125 1874.0 1915.0 193.109375 13.896379924282439
jsc-jsc ray-tracing 411.3333333333333 400.0 429.0 83.99999999999999 9.16515138991168
jsc-jsc ray-tracing 621.1111111111111 591.0 663.0 486.98765432098764 22.067796770882854
js-js ray-tracing 2736.222222222222 2583.0 2851.0 9016.395061728394 94.95470005075259
js-js ray-tracing 2785.222222222222 2550.0 2969.0 18239.95061728395 135.0553613052216
mujs ray-tracing 5889.75 5865.0 5924.0 299.9375 17.318703762117995
node-node ray-tracing 454.77777777777777 448.0 462.0 19.506172839506174 4.416579314300398
node-node ray-tracing 509.8888888888889 508.0 512.0 1.654320987654321 1.286204100310025
qjs ray-tracing 3748.25 3670.0 3872.0 3156.4375 56.18218133892631
rhino-jit ray-tracing 3110.875 2965.0 3412.0 15857.359375 125.9260075401424
rhino-nojit ray-tracing 64535.77777777778 64130.0 65081.0 80013.28395061729 282.8661944287746
ch-jit strconcat 503.22222222222223 500.0 506.0 3.2839506172839505 1.8121673811444545
ch-nojit strconcat 732.1111111111111 727.0 740.0 18.098765432098766 4.254264382017033
d8-jit strconcat 178.125 177.0 179.0 0.359375 0.5994789404140899
d8-nojit strconcat 270.55555555555554 262.0 293.0 109.80246913580247 10.478667335868739
duk strconcat 796.4444444444445 791.0 800.0 13.80246913580247 3.715167443844553
espruino strconcat 43215.625 43212.0 43220.0 4.484375 2.117634293262177
hermes-gengc strconcat 309875.44444444444 309320.0 310439.0 121055.8024691358 347.9307437826324
hermes-hades strconcat 38393.333333333336 38297.0 38528.0 6023.111111111111 77.60870512456133
hermes-malloc strconcat 40065.375 39787.0 40570.0 49423.484375 222.3139320308109
jerry-512k strconcat 2269.8888888888887 2265.0 2278.0 15.876543209876543 3.9845380171202462
jerry-6m strconcat 2309.0 2307.0 2316.0 8.0 2.8284271247461903
js-24-24 strconcat 585.625 583.0 588.0 2.234375 1.4947825928876748
js-24-24 strconcat 763.0 746.0 781.0 116.44444444444444 10.790942704159097
js-52-52 strconcat 1604.2222222222222 1601.0 1608.0 5.950617283950617 2.4393887111222385
js-52-52 strconcat 2490.1111111111113 2462.0 2513.0 403.2098765432099 20.080086567124404
jsc-jit strconcat 367.6666666666667 363.0 372.0 11.555555555555557 3.39934634239519
jsc-nojit strconcat 482.77777777777777 453.0 502.0 184.61728395061724 13.587394303199464
js-jit strconcat 1570.6666666666667 1561.0 1588.0 71.33333333333333 8.445906306213285
js-nojit strconcat 1568.111111111111 1558.0 1581.0 57.20987654320988 7.563721077830004
mujs strconcat 1352.3333333333333 1331.0 1382.0 228.88888888888889 15.129074290546956
node-jit strconcat 269.875 268.0 272.0 1.359375 1.165922381636102
node-nojit strconcat 336.375 336.0 337.0 0.234375 0.4841229182759271
qjs strconcat 498.77777777777777 484.0 511.0 69.7283950617284 8.350352990247083
rhino-jit strconcat 1705.888888888889 1677.0 1732.0 277.87654320987656 16.669629366301955
rhino-nojit strconcat 16630.333333333332 16488.0 16880.0 12077.333333333334 109.89692140061675
ch-jit loop 36.875 32.0 42.0 7.359375 2.7128168017763383
ch-nojit loop 559.75 558.0 561.0 0.6875 0.82915619758885
d8-jit loop 19.0 17.0 21.0 1.25 1.118033988749895
d8-nojit loop 195.125 194.0 196.0 0.359375 0.5994789404140899
duk loop 287.3333333333333 283.0 296.0 14.444444444444445 3.80058475033046
espruino loop 44875.555555555555 44715.0 45071.0 13512.024691358027 116.2412349012089
hermes-gengc loop 2592.777777777778 2581.0 2611.0 97.28395061728396 9.863262676076511
hermes-hades loop 2623.777777777778 2583.0 2684.0 994.6172839506174 31.537553550499403
hermes-malloc loop 2618.1111111111113 2556.0 2667.0 1160.320987654321 34.06348466693214
jerry-512k loop 399.75 398.0 401.0 0.9375 0.9682458365518543
jerry-6m loop 402.375 402.0 403.0 0.234375 0.4841229182759271
js-24-24 loop 20.125 20.0 21.0 0.109375 0.33071891388307384
js-24-24 loop 847.6666666666666 713.0 1057.0 11593.111111111111 107.67131052936577
js-52-52 loop 39.125 39.0 40.0 0.109375 0.33071891388307384
js-52-52 loop 714.25 713.0 716.0 0.9375 0.9682458365518543
jsc-jit loop 28.25 26.0 31.0 2.9375 1.713913650100261
jsc-nojit loop 99.125 99.0 100.0 0.109375 0.33071891388307384
js-jit loop 121.44444444444444 113.0 132.0 28.24691358024691 5.31478255248951
js-nojit loop 122.77777777777777 110.0 133.0 37.95061728395062 6.160407233612939
mujs loop 1489.888888888889 1406.0 1564.0 5351.876543209877 73.15652085227862
node-jit loop 55.75 55.0 56.0 0.1875 0.4330127018922193
node-nojit loop 232.5 232.0 233.0 0.25 0.5
qjs loop 183.25 183.0 184.0 0.1875 0.4330127018922193
rhino-jit loop 956.7777777777778 947.0 966.0 41.283950617283956 6.425258797689316
rhino-nojit loop 19588.88888888889 19483.0 19687.0 4514.320987654321 67.18869687420884
ch-jit array-every 55.111111111111114 52.0 59.0 8.987654320987653 2.997941680718231
ch-nojit array-every 316.1111111111111 311.0 322.0 10.987654320987655 3.314763086705844
d8-d8 array-every 11.0 11.0 11.0 0.0 0.0
d8-d8 array-every 25.125 25.0 26.0 0.109375 0.33071891388307384
duk array-every 231.0 229.0 233.0 1.75 1.3228756555322954
espruino array-every 2721.0 2719.0 2724.0 3.75 1.9364916731037085
hermes-gengc array-every 3503.6666666666665 3497.0 3513.0 25.77777777777778 5.0771820705759385
hermes-hades array-every 2795.6666666666665 2782.0 2812.0 98.66666666666666 9.93310961716756
hermes-malloc array-every 2858.0 2844.0 2880.0 126.88888888888889 11.264496832477201
jerry-512k array-every 69.44444444444444 68.0 75.0 7.358024691358024 2.7125679146074893
jerry-6m array-every 88.11111111111111 85.0 91.0 4.5432098765432105 2.1314806770278754
js-24-js array-every 21.0 21.0 21.0 0.0 0.0
js-24-js array-every 211.22222222222223 203.0 220.0 17.28395061728395 4.15739709641549
js-52-js array-every 32.75 32.0 33.0 0.1875 0.4330127018922193
js-52-js array-every 428.6666666666667 418.0 439.0 30.88888888888889 5.557777333511022
jsc-jsc array-every 35.55555555555556 32.0 39.0 4.691358024691358 2.1659542988464366
