engine,bench,pkg-power,time,power
hermes-gengc,loop,122.6005537,3128.875,0.03918358954
hermes-hades,loop,123.5214081,3145.875,0.0392645633
hermes-malloc,loop,121.8061829,3091,0.03940672367
jerry-512k,loop,17.3863945,446.5,0.03893929339
jerry-6m,loop,17.06917572,441.25,0.03868368435
js-24-jit,loop,1.029651218,38,0.02709608468
js-24-nojit,loop,35.02014838,939.5555556,0.03727310022
js-52-jit,loop,1.992785984,79.11111111,0.02518971047
js-52-nojit,loop,31.62201267,812.375,0.03892538873
js-jit,loop,5.407474094,144.125,0.03751933456
js-nojit,loop,5.046588898,124.875,0.04041312431
jsc-jit,loop,1.084435357,54.44444444,0.01991820043
jsc-nojit,loop,4.350406647,125.25,0.0347337856
mujs,loop,66.42140028,1657.125,0.0400823114
node-jit,loop,2.541120741,93.22222222,0.02725874454
node-nojit,loop,9.838996039,253.5555556,0.03880410357
qjs,loop,8.053692288,210.8888889,0.03818926796
rhino-jit,loop,40.38010216,1041,0.03878972349
rhino-nojit,loop,843.4335056,21002.33333,0.04015903815
ch-jit,array-every,1.981651306,54.125,0.03661249526
ch-nojit,array-every,13.33227539,340.875,0.039111919
d8-jit,array-every,0.46509552,11.25,0.041341824
d8-nojit,array-every,1.284715441,44.11111111,0.0291245314
duk,array-every,11.02985467,290.1111111,0.03801941479
espruino,array-every,125.3486599,3195.111111,0.03923139308
hermes-gengc,array-every,162.6534916,4085.777778,0.03980967649
hermes-hades,array-every,125.5463181,3132.875,0.04007383571
hermes-malloc,array-every,126.3308296,3142.375,0.04020234047
jerry-512k,array-every,3.130120171,78.25,0.04000153574
jerry-6m,array-every,4.225189209,134.5555556,0.03140107587
js-24-jit,array-every,1.04077318,47.55555556,0.02188541733
js-24-nojit,array-every,9.039100647,226.375,0.03992976542
js-52-jit,array-every,1.714202881,71.66666667,0.02391910997
js-52-nojit,array-every,18.99186028,484.8888889,0.03916744788
js-jit,array-every,11.40388828,294.375,0.03873932324
js-nojit,array-every,10.60488553,266.75,0.039755897
jsc-jit,array-every,1.308800591,51.77777778,0.02527726464
jsc-nojit,array-every,4.348759969,116.7777778,0.03723961915
mujs,array-every,7.898983002,210.25,0.0375694792
node-jit,array-every,2.299887763,84.11111111,0.02734344765
node-nojit,array-every,3.103537665,107.3333333,0.02891494719
qjs,array-every,3.056045532,104.1111111,0.02935369241
rhino-jit,array-every,52.29714796,1360.333333,0.03844436263
rhino-nojit,array-every,266.1396315,6697,0.03974012714
ch-jit,array-forloop,1.008266873,28.11111111,0.03586720101
ch-nojit,array-forloop,3.307338715,88.25,0.03747692594
d8-jit,array-forloop,0.5260677338,25.75,0.0204298149
d8-nojit,array-forloop,0.8876749674,22,0.04034886216
duk,array-forloop,4.173303604,119.25,0.03499625664
espruino,array-forloop,114.6537666,2941.25,0.03898130612
hermes-gengc,array-forloop,36.45827293,910.25,0.04005303261
hermes-hades,array-forloop,37.95996772,948.5,0.04002105189
hermes-malloc,array-forloop,35.16986465,877.25,0.04009103979
jerry-512k,array-forloop,2.747414483,98.11111111,0.02800309213
jerry-6m,array-forloop,3.099193573,78.875,0.03929247002
js-24-jit,array-forloop,0.3876132965,9,0.04306814406
js-24-nojit,array-forloop,3.204678006,109.4444444,0.02928132188
js-52-jit,array-forloop,1.329954147,33.375,0.0398488134
js-52-nojit,array-forloop,4.583967209,127.625,0.03591747078
js-jit,array-forloop,5.322309706,142.25,0.03741518247
js-nojit,array-forloop,5.220757378,136.5555556,0.03823174647
jsc-jit,array-forloop,0.8599497477,22,0.0390886249
jsc-nojit,array-forloop,0.8015204536,20,0.04007602268
mujs,array-forloop,3.857030233,127.2222222,0.03031726821
node-jit,array-forloop,2.197374132,83.88888889,0.02619386382
node-nojit,array-forloop,2.773651123,98.55555556,0.02814302154
qjs,array-forloop,0.8987782796,22.5,0.03994570132
rhino-jit,array-forloop,26.05381944,677.2222222,0.03847159557
rhino-nojit,array-forloop,85.02842522,2176.25,0.03907107419
ch-jit,array-forEach,3.153825548,83.11111111,0.03794709884
ch-nojit,array-forEach,271.4134403,6845.333333,0.03964941181
d8-jit,array-forEach,0.9416826036,23.25,0.04050247758
d8-nojit,array-forEach,28.68117332,730.875,0.03924224159
duk,array-forEach,160.7187748,4108.888889,0.03911489922
espruino,array-forEach,4006.092913,96758.33333,0.04140307894
hermes-gengc,array-forEach,2849.525277,69082.44444,0.04124818252
hermes-hades,array-forEach,2853.953951,68804.125,0.04147940187
hermes-malloc,array-forEach,2764.447444,67060.33333,0.04122328814
jerry-512k,array-forEach,95.4691906,2370.875,0.04026749221
jerry-6m,array-forEach,93.6342926,2341.625,0.03998688629
js-24-jit,array-forEach,6.140817642,162.75,0.03773159842
js-24-nojit,array-forEach,162.9286414,4039.555556,0.04033330875
js-52-jit,array-forEach,1.994628906,71.22222222,0.02800571007
js-52-nojit,array-forEach,188.1096242,4587.888889,0.04100134698
js-jit,array-forEach,14.08530002,353.125,0.03988757528
js-nojit,array-forEach,13.17609829,329.75,0.03995784168
jsc-jit,array-forEach,2.839060465,99.77777778,0.0284538354
jsc-nojit,array-forEach,64.34938897,1612,0.03991897579
mujs,array-forEach,139.2703467,3495.625,0.0398413293
node-jit,array-forEach,2.765692817,98.88888889,0.02796768017
node-nojit,array-forEach,30.49195671,780.75,0.0390546996
qjs,array-forEach,35.69816017,895.125,0.03988064256
